20MICRONS,20200220,33,35.15,32.3,34.45,29579
3IINFOTECH,20200220,2.05,2.25,2,2.15,3208905
3MINDIA,20200220,21920,21986.5,21602.65,21683.4,2057
3PLAND,20200220,5.15,5.15,5.15,5.15,9500
5PAISA,20200220,187.25,189.9,183.5,184.75,4175
63MOONS,20200220,102.15,103.45,100.1,100.8,102902
A2ZINFRA,20200220,4.85,5.55,4.85,5.2,282488
AARTIDRUGS,20200220,645.1,687,645.1,673.2,63213
AARTIIND,20200220,1000.95,1054,998.35,1040.55,550752
AARVEEDEN,20200220,13.1,14,13.05,13.3,4118
AAVAS,20200220,1975,2038,1948.15,1965.85,72593
ABAN,20200220,22.3,22.7,21.8,22.5,40027
ABB,20200220,1213.9,1246.9,1213.35,1230.9,48608
ABBOTINDIA,20200220,15800,15984.15,15400.1,15527.65,10598
ABCAPITAL,20200220,88.85,92.25,88.55,90.1,1899902
ABFRL,20200220,273.25,283.8,271.1,278.25,1166552
ABSLNN50ET,20200220,288.29,292.12,288.29,290.51,131
ACC,20200220,1430,1451.75,1420.25,1423.45,558883
ACCELYA,20200220,1062.05,1080,1062.05,1075,2973
ACE,20200220,76.15,77.8,75.5,75.8,100880
ADANIENT,20200220,253.2,261,252.65,258.65,3108173
ADANIGAS,20200220,164.8,194.5,163,184.85,6391050
ADANIGREEN,20200220,197.85,198.15,193,194.85,911195
ADANIPORTS,20200220,371,374.5,370,370.85,1799254
ADANIPOWER,20200220,58.25,58.9,57.2,57.65,4518689
ADANITRANS,20200220,309,332,307.95,325.3,261547
ADFFOODS,20200220,297.7,304,294.25,300.6,16112
ADHUNIKIND,20200220,37.25,38.35,35.85,37.1,188019
ADLABS,20200220,3.55,3.7,3.45,3.55,37768
ADORWELD,20200220,329.45,329.65,315,321.05,5457
ADROITINFO,20200220,5.75,5.8,5.55,5.8,2580
ADSL,20200220,20.05,21.05,20,20.9,22768
ADVANIHOTR,20200220,56.2,57.7,56.1,57.1,3396
ADVENZYMES,20200220,162.3,164.15,160.1,161.4,42813
AEGISCHEM,20200220,253,258.8,248.75,250.15,207219
AFFLE,20200220,2268.45,2284,2173.55,2201.55,326634
AGARIND,20200220,83.9,83.9,79,80.3,2805
AGCNET,20200220,394.4,394.4,394.4,394.4,9365
AGRITECH,20200220,41.35,44.9,40.55,42.2,9268
AGROPHOS,20200220,11.2,12.3,11.2,12.3,593481
AHLEAST,20200220,184.1,189.05,183.15,186.3,493
AHLUCONT,20200220,326,333.05,322.5,328.1,27834
AHLWEST,20200220,367,376.05,367,370.1,1842
AIAENG,20200220,1828.6,1899,1816.05,1890,27981
AIONJSW,20200220,15.35,15.7,15.1,15.3,109885
AIRAN,20200220,13.25,13.25,11.85,12.15,3209
AJANTPHARM,20200220,1319,1485,1316.95,1445.4,627289
AJMERA,20200220,115,115,111.1,112.2,54265
AKSHARCHEM,20200220,327.9,334.9,289,309.25,47202
AKSHOPTFBR,20200220,6.2,6.3,6.2,6.3,97676
AKZOINDIA,20200220,2465.15,2480.75,2405,2415.75,13216
ALANKIT,20200220,15.6,15.6,14.4,15.2,138620
ALBERTDAVD,20200220,450,461,442,455.15,9666
ALBK,20200220,14.05,14.45,14,14.25,908702
ALCHEM,20200220,1,1,1,1,12866
ALEMBICLTD,20200220,51.8,53.6,51.05,53.1,190125
ALICON,20200220,362.2,378,355.1,358.3,1073
ALKALI,20200220,47.1,47.1,45,45.7,2205
ALKEM,20200220,2628.7,2690,2628.65,2658.7,81789
ALKYLAMINE,20200220,1599.9,1665.95,1589,1635.85,56051
ALLCARGO,20200220,111.1,120.2,110.75,115.65,914704
ALLSEC,20200220,269.7,269.95,260.1,264.7,608
ALMONDZ,20200220,16.3,17.5,16.2,17.05,7010
ALOKINDS,20200220,16.05,16.05,16.05,16.05,383712
ALPA,20200220,20,20,18.55,19.25,22611
ALPHAGEO,20200220,230.8,233.45,213.4,218.3,43283
ALPSINDUS,20200220,0.9,1,0.9,0.9,59634
AMARAJABAT,20200220,782,788,766,770.8,614620
AMBER,20200220,1665,1695,1620.25,1639.75,228533
AMBIKCO,20200220,817.2,818,801,807.7,2625
AMBUJACEM,20200220,204.95,210.25,200.1,205.4,3826080
AMDIND,20200220,15.7,15.95,15.4,15.9,3588
AMJLAND,20200220,20.25,20.5,19.75,20.05,12379
AMRUTANJAN,20200220,507,522.9,507,515.45,39930
ANANTRAJ,20200220,32.25,32.25,31.65,32,158960
ANDHRABANK,20200220,15,15.1,14.85,14.95,388663
ANDHRACEMT,20200220,2.2,2.2,2,2.15,73326
ANDHRSUGAR,20200220,276.8,279.75,275.25,276.8,17783
ANDPAPER,20200220,284,293.55,273,275.15,7400
ANIKINDS,20200220,8.35,8.65,8,8.2,3596
ANKITMETAL,20200220,0.45,0.5,0.45,0.5,58054
ANSALAPI,20200220,5.25,5.7,5.05,5.65,122506
ANSALHSG,20200220,4.55,4.95,4.55,4.85,30195
ANTGRAPHIC,20200220,0.65,0.65,0.6,0.65,19176
ANUP,20200220,578,584,566.3,570.75,3955
