20MICRONS,20200403,25,25.55,23.2,24.45,18990
21STCENMGM,20200403,10.65,10.65,10.5,10.5,499
3IINFOTECH,20200403,1.3,1.3,1.2,1.3,2445739
3MINDIA,20200403,18410,18650,17175,17490.1,7588
3PLAND,20200403,3.4,3.55,3.4,3.55,1503
5PAISA,20200403,115,128,113.6,115.1,2711
63MOONS,20200403,46.2,47,45.45,46.15,31413
A2ZINFRA,20200403,3.1,3.2,3.05,3.1,169080
AARTIDRUGS,20200403,527.7,547,520.15,540.75,25364
AARTIIND,20200403,801.1,804,770.75,790.7,135885
AARVEEDEN,20200403,8.15,8.15,7.4,7.8,1750
AAVAS,20200403,1179,1180,1132.4,1132.4,104654
ABAN,20200403,14.35,14.75,14.05,14.75,66242
ABB,20200403,914.3,949,893,934.15,40418
ABBOTINDIA,20200403,15775,16000,15210,15810.5,28827
ABCAPITAL,20200403,42.5,45.2,41.05,43.45,1336547
ABFRL,20200403,149,149,142,145.95,431692
ABSLBANETF,20200403,210,228,203.7,228,13
ABSLNN50ET,20200403,234,234,211.82,211.82,39
ACC,20200403,960,969.8,936.95,962.6,1221295
ACCELYA,20200403,860.3,873,860.05,869.75,32652
ACE,20200403,34.5,34.5,31.35,31.6,277020
ADANIENT,20200403,134,134.6,128,129.05,1761947
ADANIGAS,20200403,89.9,92,88.95,90.35,894968
ADANIGREEN,20200403,152.9,154.85,150.45,151.9,259616
ADANIPORTS,20200403,246,252.8,238.9,244.8,7210453
ADANIPOWER,20200403,26.95,27.15,25.8,26.75,4740718
ADANITRANS,20200403,182.2,195,180,193.95,177468
ADFFOODS,20200403,173.65,176,168.1,174.6,7361
ADHUNIKIND,20200403,12.4,12.4,11.7,12.15,15983
ADLABS,20200403,2.65,2.65,2.55,2.65,57007
ADORWELD,20200403,182.95,194.6,182.15,188.6,1386
ADROITINFO,20200403,5.8,5.8,5.6,5.7,970
ADSL,20200403,13.45,13.45,12.5,12.65,5332
ADVANIHOTR,20200403,31.75,31.75,29.5,30.2,5172
ADVENZYMES,20200403,136,136.95,130.1,131.3,38645
AEGISCHEM,20200403,129.15,137.7,129,131.4,70138
AFFLE,20200403,999,999,930.85,955.55,28126
AGARIND,20200403,48.65,50,45.2,48.65,7538
AGCNET,20200403,236,236.25,213.8,226.1,1738
AGRITECH,20200403,21,21.8,21,21.8,637
AGROPHOS,20200403,5.45,5.45,5.2,5.2,23554
AHLEAST,20200403,123.1,131.85,120,128,435
AHLUCONT,20200403,170.15,174,155.5,157.55,10316
AHLWEST,20200403,263,305.4,261,275.15,914
AIAENG,20200403,1319,1324.45,1252.25,1277.1,23542
AIONJSW,20200403,10.1,10.1,9.85,10.1,27220
AIRAN,20200403,9.5,10.25,9.4,9.95,4797
AJANTPHARM,20200403,1340,1414,1295,1312.55,166315
AJMERA,20200403,63.1,64.9,62,64.15,8949
AKSHARCHEM,20200403,157.35,158.9,141.2,157.15,5995
AKSHOPTFBR,20200403,3.3,3.3,3.3,3.3,28598
AKZOINDIA,20200403,2160,2160,2040,2066.65,6275
ALANKIT,20200403,11.65,11.75,11.2,11.75,37464
ALBERTDAVD,20200403,309.25,319.95,309.25,318.8,3179
ALCHEM,20200403,1.2,1.3,1.2,1.3,4205
ALEMBICLTD,20200403,37,38.7,35.05,37.25,108429
ALICON,20200403,185.95,185.95,174.95,179,501
ALKALI,20200403,26.4,26.4,25.2,26.3,672
ALKEM,20200403,2279,2299.75,2250,2267.05,196222
ALKYLAMINE,20200403,1170,1179.95,1126.05,1157.05,8312
ALLCARGO,20200403,60,60,57.5,58.9,69785
ALLSEC,20200403,118.15,124,115,119.7,8178
ALOKINDS,20200403,4.3,4.3,4.3,4.3,3942656
ALPA,20200403,14.9,14.9,13.55,14.4,35334
ALPHAGEO,20200403,129.85,129.85,104.95,120.3,26846
ALPSINDUS,20200403,0.8,0.8,0.7,0.7,14291
AMARAJABAT,20200403,477.8,480,455.65,460.2,457301
AMBER,20200403,1268.05,1309.8,1182,1192.5,54730
AMBIKCO,20200403,543.95,555.95,525,534.8,2601
AMBUJACEM,20200403,156.6,156.65,151.55,153,3738943
AMDIND,20200403,11,11,9.2,9.65,12322
AMJLAND,20200403,14.6,15.7,13.05,13.85,9182
AMRUTANJAN,20200403,330,330,301,312.35,27031
ANANTRAJ,20200403,19,19.6,18.8,19.2,68499
ANDHRACEMT,20200403,1.65,1.65,1.6,1.65,105733
ANDHRAPAP,20200403,137,143,130.15,134.8,9782
ANDHRSUGAR,20200403,195.15,195.15,180.1,194.55,59288
ANIKINDS,20200403,6.6,6.7,6.5,6.65,1187
ANKITMETAL,20200403,0.35,0.4,0.35,0.35,14524
ANSALAPI,20200403,3.55,3.75,3.5,3.55,29370
ANSALHSG,20200403,2.9,3,2.8,3,19918
ANUP,20200403,315,319,299.15,299.15,3276
APARINDS,20200403,299.85,300,286,293.1,24279
APCL,20200403,100.85,100.9,92.65,96.1,2353
APCOTEXIND,20200403,89.5,89.5,74.05,84.65,21806
APEX,20200403,167.2,173.6,167.2,170.4,32457
APLAPOLLO,20200403,1240,1240,1191.4,1197.4,16852
APLLTD,20200403,540.3,549.8,522.35,536.05,171739
APOLLO,20200403,45.6,45.95,44.5,45.15,6932
APOLLOHOSP,20200403,1094.2,1239.45,1088.05,1189.55,2397409
APOLLOPIPE,20200403,243,262,220,259.2,9446
APOLLOTYRE,20200403,79.5,79.5,76.45,78.45,3754206
APOLSINHOT,20200403,431.2,435,415.45,418.3,463
APTECHT,20200403,85,85,79,80,57872
ARCHIDPLY,20200403,15.55,17.45,14.85,15.3,16983
ARCHIES,20200403,9.45,9.45,8.75,9.05,10861
ARCOTECH,20200403,0.95,0.95,0.85,0.9,130062
ARIES,20200403,41.8,41.8,39.1,39.9,8847
ARIHANT,20200403,11.55,11.9,11.1,11.75,631
ARIHANTSUP,20200403,20.95,20.95,19.6,19.65,176
ARMANFIN,20200403,394,394,374.15,374.15,2763
AROGRANITE,20200403,19.9,20.85,19.4,20.65,4528
ARROWGREEN,20200403,33.4,33.4,32,33.25,1949
ARSHIYA,20200403,7.45,7.45,6.8,7.05,57787
ARSSINFRA,20200403,9.9,10.5,9.6,10.35,6165
ARTEMISMED,20200403,135,135,126.5,126.5,629
ARVIND,20200403,20.1,20.4,19.7,20.2,693885
ARVINDFASN,20200403,136,140.5,135,138.35,11006
ARVSMART,20200403,72,72,61.3,67.65,13580
ASAHIINDIA,20200403,150.9,153,144.25,149.5,6347
ASAHISONG,20200403,78,78,72.15,73.55,10604
ASAL,20200403,12.4,13.65,12.4,13.6,6953
ASALCBR,20200403,156.9,156.9,125.55,146.6,24117
ASHAPURMIN,20200403,20.85,21,19.85,20.05,16286
ASHIANA,20200403,50.05,53.2,49,49.85,77088
ASHIMASYN,20200403,3,3.3,3,3.25,95003
ASHOKA,20200403,41,41,37.05,37.5,514587
ASHOKLEY,20200403,41.1,41.15,38,38.15,37556156
ASIANHOTNR,20200403,63.75,65.65,63.7,65,13293
ASIANPAINT,20200403,1615.1,1616,1517.25,1520.9,2925847
ASIANTILES,20200403,161.65,168,150,155.1,50922
ASPINWALL,20200403,82.05,92.35,82.05,91.8,109
ASTEC,20200403,388.25,425,388.1,413.75,6007
ASTERDM,20200403,95.95,96.9,93.1,94,124546
ASTRAL,20200403,955.6,1020,913.95,975.4,96423
ASTRAMICRO,20200403,53.1,55.9,52.75,55,68089
ASTRAZEN,20200403,2400.05,2536,2374.95,2401.05,29900
ASTRON,20200403,26.05,26.75,25.4,26,10974
ATFL,20200403,394.55,438,376.85,432.2,7329
ATLANTA,20200403,2.9,2.9,2.8,2.9,45666
ATLASCYCLE,20200403,30.95,32.4,29.6,31,732
ATNINTER,20200403,0.1,0.15,0.1,0.15,7546
ATUL,20200403,3939,3940,3750,3897.85,9201
ATULAUTO,20200403,136.7,142,132.5,139.8,10456
AUBANK,20200403,482,482.9,458,465.45,722400
AURIONPRO,20200403,39.8,44.5,38.3,43.25,13828
AUROPHARMA,20200403,353.1,411.95,333.5,382.4,17168599
AUSOMENT,20200403,24.8,26,24.8,25.9,2627
AUTOAXLES,20200403,369.9,377.25,360.8,365.95,3608
AUTOIND,20200403,10.7,10.7,10.35,10.7,3919
AUTOLITIND,20200403,13.55,13.55,12.25,13.3,6073
AVADHSUGAR,20200403,130.25,130.25,118.15,130.25,99006
AVANTIFEED,20200403,284.05,289.7,280,283.85,402701
AVTNPL,20200403,23.8,23.9,23.2,23.8,32852
AXISBANK,20200403,360.2,362.3,324,325.45,41317685
AXISCADES,20200403,28.95,30.2,27.55,28.85,35132
AXISGOLD,20200403,3841,3890,3837.85,3876.1,919
AXISNIFTY,20200403,1000,1001,1000,1001,17
AYMSYNTEX,20200403,17.9,17.9,16.05,16.65,1442
BAFNAPH,20200403,14.6,14.6,14.6,14.6,225
BAGFILMS,20200403,1.75,1.8,1.7,1.8,8841
BAJAJ-AUTO,20200403,2051.1,2056.3,1957.55,2033.75,692220
BAJAJCON,20200403,134.1,137.5,131.25,133,323500
BAJAJELEC,20200403,275,276.05,260,267.3,55758
BAJAJFINSV,20200403,4560,4646,4430,4510.75,722316
BAJAJHIND,20200403,2.85,2.85,2.85,2.85,167568
BAJAJHLDNG,20200403,1780,1930,1700,1924.6,47263
BAJFINANCE,20200403,2268.8,2343.7,2183.05,2207.5,6172683
BALAJITELE,20200403,38.2,40,36.55,39.1,77367
BALAMINES,20200403,250,257,241.3,247.25,39172
BALAXI,20200403,80,80,73.1,77,3165
BALKRISHNA,20200403,8,8.05,7.6,8,5968
BALKRISIND,20200403,805,807,769,773.3,653446
BALLARPUR,20200403,0.35,0.4,0.3,0.35,13339529
BALMLAWRIE,20200403,85,87,82.95,85.3,158363
BALPHARMA,20200403,30.85,34.4,29.55,31.65,26402
BALRAMCHIN,20200403,114.7,114.7,104.15,114.7,1515366
BANARBEADS,20200403,27.25,31.9,27.25,28.65,4801
BANARISUG,20200403,862,935,858.25,890,355
BANCOINDIA,20200403,63.55,64.3,62,63.55,40985
BANDHANBNK,20200403,196.2,197.05,180,181.55,9147321
BANG,20200403,11.15,11.95,11.15,11.95,469
BANKBARODA,20200403,51.25,51.3,48.5,48.7,20739757
BANKBEES,20200403,187.07,190,174,174.83,1073664
BANKINDIA,20200403,32.45,32.9,31.7,32.55,713521
BANSWRAS,20200403,70.2,75.45,69.15,70.6,8096
BASF,20200403,1097,1150,1017,1101.1,43029
BASML,20200403,77.85,77.85,67,72.2,938
BATAINDIA,20200403,1201.9,1215,1146.3,1190.75,737772
BAYERCROP,20200403,3348.7,3348.7,3151,3194.7,6850
BBL,20200403,579.95,590,565,585.95,2311
BBTC,20200403,735,735.35,696.25,716.75,35765
BCG,20200403,3.25,3.35,3.15,3.35,293947
BCP,20200403,10,10,9.85,9.85,2412
BDL,20200403,186,186.2,180.15,183.95,12821
BEARDSELL,20200403,7,7.15,6.8,7.1,2442
BEDMUTHA,20200403,12.55,13.85,12.55,12.8,9276
BEL,20200403,71.75,71.9,68.5,69.95,9319677
BEML,20200403,455,461,435.15,439.35,157037
BEPL,20200403,29.7,30.5,28.3,28.8,203586
BERGEPAINT,20200403,480.1,483,444.65,448.65,1430557
BFINVEST,20200403,249,249.9,226.15,249.45,13333
BFUTILITIE,20200403,147.5,148.15,140.2,143.7,66664
BGRENERGY,20200403,21.1,23.5,21.1,22.4,107898
BHAGERIA,20200403,79.6,81.4,77.05,77.75,10353
BHAGYANGR,20200403,14.1,14.9,14.1,14.25,4915
BHAGYAPROP,20200403,19.75,21.65,19.75,21,1768
BHANDARI,20200403,0.7,0.75,0.7,0.75,49872
BHARATFORG,20200403,230,230.05,215,219.65,2286237
BHARATGEAR,20200403,27.85,27.9,26,26.85,9278
BHARATRAS,20200403,5444.95,5444.95,5063.25,5291,2109
BHARATWIRE,20200403,11.8,12.3,11.2,12.3,19295
BHARTIARTL,20200403,432,432,415.6,423.95,14153710
BHEL,20200403,21.15,21.2,20.4,20.65,14724854
BIGBLOC,20200403,28.5,29.9,28.5,29.9,244
