20MICRONS,20190225,35.2,36.2,34.5,35.9,33738
21STCENMGM,20190225,18.65,18.65,17.95,18,2964
3IINFOTECH,20190225,3.95,3.95,3.7,3.75,2498830
3MINDIA,20190225,23252.2,24500,23219.55,23648.35,4558
3PLAND,20190225,10.9,11.25,10.5,10.55,2297
5PAISA,20190225,228.95,235,226.35,228,1612
63MOONS,20190225,76.55,83.25,76.45,80.75,570219
8KMILES,20190225,112.4,113.5,109.2,109.8,130176
A2ZINFRA,20190225,15.35,16.05,15.05,16.05,590307
AARTIDRUGS,20190225,589.85,604.9,589,594.2,6284
AARTIIND,20190225,1402,1430,1400,1413.4,66086
AARVEEDEN,20190225,22.75,22.75,21.05,21.75,13167
AAVAS,20190225,1000.3,1023,977,987.9,32770
ABAN,20190225,53.55,55.3,53.5,54.5,488704
ABB,20190225,1250,1264.5,1244,1246.55,33418
ABBOTINDIA,20190225,7231,7384.95,7220,7375,2228
ABCAPITAL,20190225,88.1,89.8,87.5,88.7,3864761
ABFRL,20190225,220.25,229.7,217.55,225.8,579619
ABSLNN50ET,20190225,260.24,260.24,258,258,22
ACC,20190225,1390.6,1392.8,1368.4,1376.15,751219
ACCELYA,20190225,930,930,909.95,920.85,5855
ACE,20190225,76.4,80.15,76.4,77.5,427544
ADANIENT,20190225,125,133.9,123,132,12769956
ADANIGAS,20190225,102.2,103.9,100.25,100.8,344984
ADANIGREEN,20190225,33.4,33.5,32.3,32.95,493358
ADANIPORTS,20190225,329,339.55,320.6,324.55,21795407
ADANIPOWER,20190225,39.85,41,36.35,40.45,17835657
ADANITRANS,20190225,213.2,216.35,208.75,210.3,104497
ADFFOODS,20190225,228,228,219.1,221.65,37368
ADHUNIK,20190225,1.45,1.45,1.35,1.45,45806
ADHUNIKIND,20190225,42,42.95,40,41.2,114873
ADLABS,20190225,9.6,9.6,9,9.1,399060
ADORWELD,20190225,312.05,315,306.55,310.45,1781
ADROITINFO,20190225,16.05,16.15,15.65,15.95,809
ADSL,20190225,12.6,12.6,11.9,12.55,14049
ADVANIHOTR,20190225,67.05,69,66.5,68.05,1504
ADVENZYMES,20190225,153.85,153.9,151.2,151.9,479896
AEGISCHEM,20190225,199.45,200,197.5,199.45,116180
AGARIND,20190225,164.45,175.4,164.45,168.1,4477
