20MICRONS,20190626,36.25,37.4,33.45,36.9,19502
21STCENMGM,20190626,17.9,18,17.55,17.75,1332
3IINFOTECH,20190626,3.3,3.4,3.3,3.3,1287397
3MINDIA,20190626,23236.55,23485.3,22910,22927.75,1917
5PAISA,20190626,200.95,209,200.95,206.35,3310
63MOONS,20190626,112.55,117.9,111.9,115.5,106588
8KMILES,20190626,88.85,88.85,88.4,88.85,89245
A2ZINFRA,20190626,13,13.25,12.6,12.8,191051
AARTIDRUGS,20190626,532.75,542.15,525,539.75,8273
AARTIIND,20190626,1795,1799.95,1725,1785.5,68598
AARVEEDEN,20190626,21.3,21.5,20.55,21.15,1817
AAVAS,20190626,1505.9,1517.95,1470.05,1491.75,7748
ABAN,20190626,36.35,38,36.2,38,86121
ABB,20190626,1557.05,1609,1551,1601.5,138265
ABBOTINDIA,20190626,8501,8950,8501,8775.8,8090
ABCAPITAL,20190626,91.5,93.7,91.5,92.75,658624
ABFRL,20190626,214.6,215.6,208,209.55,214792
ACC,20190626,1549,1589,1546.8,1582.95,699597
ACCELYA,20190626,871.6,880,865,872.7,2081
ACE,20190626,94,98.3,93.95,97.85,101231
ADANIENT,20190626,150,155.3,148.5,153.8,4779891
ADANIGAS,20190626,160.8,165,160.1,162.25,554210
ADANIGREEN,20190626,41.5,41.8,41.1,41.5,337225
ADANIPORTS,20190626,405.4,417.6,404,414.95,3327963
ADANIPOWER,20190626,50.7,51.5,50.3,51.3,13262391
ADANITRANS,20190626,222,226.6,219.8,223.35,55375
ADFFOODS,20190626,271,276,271,275.2,11994
ADHUNIK,20190626,1.35,1.35,1.3,1.3,29792
ADHUNIKIND,20190626,79,80.9,78.75,78.75,51763
ADLABS,20190626,5.35,5.75,5.35,5.75,84543
ADORWELD,20190626,335,345,335,343.25,5904
ADROITINFO,20190626,9.8,10.75,9.8,10.75,2417
ADSL,20190626,15.1,15.15,13.4,13.75,70780
ADVANIHOTR,20190626,59.1,61.4,59.1,59.4,6363
ADVENZYMES,20190626,166,173.9,165,169.45,168827
AEGISCHEM,20190626,202.05,203.95,200,202.1,70427
AGARIND,20190626,120.4,134,120.4,122.85,43316
AGCNET,20190626,112.9,112.9,110,110.05,1181
AGLSL,20190626,52.9,57.9,52.9,55.65,805
AGRITECH,20190626,49.65,52,49.65,50.75,3115
AGROPHOS,20190626,81.4,86,81.4,85.7,75797
AHLEAST,20190626,183.05,191.95,182,187.6,242
AHLUCONT,20190626,330.05,331,328.15,330,2576
AHLWEST,20190626,338.15,345.5,338,338.75,252
AIAENG,20190626,1747.1,1755.05,1744.9,1749.25,25585
AIONJSW,20190626,16.8,17.6,16.8,17.5,14392
AIRAN,20190626,26.5,28,26.5,27.2,4201
AJANTPHARM,20190626,974.35,974.35,950,959.6,464571
AJMERA,20190626,160.05,164.5,160.05,163.6,50902
